
Country  Qty  Page price             Checkout subtotal      Result
-------  ---  ---------------------  ---------------------  --------
US      1    59.95 USD              59.95 USD              MATCH
US      2    99.92 USD              99.92 USD              MATCH
US      3    119.9 USD              119.9 USD              MATCH
GB      1    44.73 GBP              44.73 GBP              MATCH
GB      2    74.67 GBP              74.56 GBP              MISMATCH
GB      3    89.47 GBP              89.47 GBP              MATCH
CA      1    82.67 CAD              82.67 CAD              MATCH
CA      2    137.79 CAD             137.79 CAD             MATCH
CA      3    165.35 CAD             165.35 CAD             MATCH
AU      1    84.52 AUD              84.52 AUD              MATCH
AU      2    140.88 AUD             140.88 AUD             MATCH
AU      3    169.05 AUD             169.05 AUD             MATCH
DE      1    51.84 EUR              51.84 EUR              MATCH
DE      2    86.4 EUR               86.4 EUR               MATCH
DE      3    103.68 EUR             103.68 EUR             MATCH
FR      1    51.84 EUR              51.84 EUR              MATCH
FR      2    86.4 EUR               86.4 EUR               MATCH
FR      3    103.68 EUR             103.68 EUR             MATCH
IT      1    51.84 EUR              51.84 EUR              MATCH
IT      2    86.4 EUR               86.4 EUR               MATCH
IT      3    103.68 EUR             103.68 EUR             MATCH
ES      1    51.84 EUR              51.84 EUR              MATCH
ES      2    86.4 EUR               86.4 EUR               MATCH
ES      3    103.68 EUR             103.68 EUR             MATCH
NL      1    51.84 EUR              51.84 EUR              MATCH
NL      2    86.4 EUR               86.4 EUR               MATCH
NL      3    103.68 EUR             103.68 EUR             MATCH
IE      1    51.84 EUR              51.84 EUR              MATCH
IE      2    86.4 EUR               86.4 EUR               MATCH
IE      3    103.68 EUR             103.68 EUR             MATCH
NZ      1    103.01 NZD             103.01 NZD             MATCH
NZ      2    171.68 NZD             171.68 NZD             MATCH
NZ      3    206.01 NZD             206.01 NZD             MATCH
JP      1    9517.0 JPY             9517.0 JPY             MATCH
JP      2    15862.0 JPY            15862.0 JPY            MATCH
JP      3    19034.0 JPY            19034.0 JPY            MATCH
SG      1    77.44 SGD              77.44 SGD              MATCH
SG      2    129.08 SGD             129.08 SGD             MATCH
SG      3    154.89 SGD             154.89 SGD             MATCH
AE      1    223.5 AED              223.5 AED              MATCH
AE      2    372.51 AED             372.51 AED             MATCH
AE      3    447.0 AED              447.0 AED              MATCH
SE      1    561.35 SEK             561.35 SEK             MATCH
SE      2    935.62 SEK             935.62 SEK             MATCH
SE      3    1122.7 SEK             1122.7 SEK             MATCH
NO      1    59.95 USD              59.95 USD              MATCH
NO      2    99.92 USD              99.92 USD              MATCH
NO      3    119.9 USD              119.9 USD              MATCH
DK      1    387.42 DKK             387.42 DKK             MATCH
DK      2    645.72 DKK             645.72 DKK             MATCH
DK      3    774.83 DKK             774.83 DKK             MATCH
CH      1    47.53 CHF              47.53 CHF              MATCH
CH      2    79.23 CHF              79.23 CHF              MATCH
CH      3    95.07 CHF              95.07 CHF              MATCH
MX      1    59.95 USD              59.95 USD              MATCH
MX      2    99.92 USD              99.92 USD              MATCH
MX      3    119.9 USD              119.9 USD              MATCH
BR      1    59.95 USD              59.95 USD              MATCH
BR      2    99.92 USD              99.92 USD              MATCH
BR      3    119.9 USD              119.9 USD              MATCH

59 pass · 1 fail · 0 skip
